Year,DonorCode,DonorName,AgencyName,CrsID,RecipientName,RegionName,FlowName,USD_Commitment,CurrencyCode,ShortDescription,ProjectTitle,BroadSector,Province,Latitude,Longitude,PurposeCode,PurposeName,SectorCode,SectorName,ExpectedStartDate,CompletionDate,LongDescription,Name_of_Donor,ProjectTitle_len,PurposeName_len,ShortDescription_len,LongDescription_len
2018,302,United States,Agency for International Development,2018024259B,Iraq,Middle East,ODA Grants,5.37305,302,PERFORMANCE MANAGEMENT AND SUPPORT PROGRAM (PMSP),Performance Management And Support Program (PMSP),Other,Baghdad,33.47392,44.77914,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,2015-03-30 00:00:00,2022-05-01 00:00:00,"IBTCI is supplementing the monitoring and program management efforts of USAID/Iraq staff to verify, monitor and support USAID program performance evaluation in Iraq. Information gathered and program support services being provided by IBTCI are assisting the Mission to make informed decisions and better manage Implementing Partners (IP) performance throughout the reporting of USAID/Iraq activities and projects. Services IBTCI is currently providing to the USAID/Iraq Mission include supporting the development and implementation of USAID/Iraqs Performance Management Plan (PMP), providing independent monitoring of the implementation of USAID/ Iraqs programs and activities and progress in achieving intended results, and providing evaluation services. IBTCI is integrating gender considerations, mitigation of environmental impacts, and future sustainability of results into its work.","United States, Agency for International Development",49,43,49,888
2019,302,United States,Agency for International Development,2019024048,Iraq,Middle East,ODA Grants,5.343674,302,PROVIDE MULTI-SECTORAL AREA-BASED HUMANITARIAN RESPONSE,Provide multi-sectoral area-based humanitarian response,Public Administration,Nineveh,35.75991,43.26838,72050,Relief co-ordination and support services,720,VIII.1. Emergency Response,2019-09-01 00:00:00,2020-11-30 00:00:00,"In 2019, a multi-sectoral humanitarian response in Iraq focused on providing essential services—including Water, Sanitation, and Hygiene (WASH), Economic Recovery and Market Systems (ERMS), Health Care Information Management (HCIM), and Shelter—to conflict-affected populations. A key implementation site was the Qayyarah Airstrip Emergency Site in Ninewa Governorate, offering critical support to internally displaced persons.","United States, Agency for International Development",55,41,55,106
2014,301,Canada,Global Affairs Canada,2.0142E+13,Iraq,Middle East,ODA Grants,5.295555,301,IRAQ CRISIS - EMERGENCY ASSISTANCE - UNHCR 2015 / CRISE EN IRAQ - AIDE D URGENCE - HCR 2015,Iraq Crisis - Emergency Assistance - UNHCR 2015 ,Public Administration,Duhok,36.83351,43.03336,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2014-12-29 00:00:00,2015-12-30 00:00:00,"March 2015 - The humanitarian situation in Iraq continues to deteriorate. The violence between armed groups and government forces has displaced over 2.4 million people from their homes. An estimated 5.2 million people in Iraq have been affected by the conflict and are in need of humanitarian assistance. Basic services, including health care and water infrastructure, are disrupted, resulting in acute humanitarian needs. As fighting and human rights violations persist and international efforts remain to free territory controlled by the Islamic State of Iraq and the Levant (ISIL), the situation is expected to deteriorate and to cause additional displacement.   With DFATD s support and other donors, UNHCR is providing assistance and protection to people of concern in Iraq. Project activities include: (1) providing 1,350,000 conflict-affected people with access to legal assistance, (2) increasing the capacity of local authorities to establish and maintain camps for internally displaced people, (3) providing 50,000 emergency shelters, clothing and other essential relief items to 120,000 families, (4) providing healthcare and support services to survivors of sexual and gender-based violence in camps, and (5) working with local Iraqi organizations to increase their capacity to provide safe, confidential, non-discriminatory and compassionate comprehensive services to women and girls. ","Canada, Global Affairs Canada",91,39,91,3000
2022,918,EU Institutions,European Commission,2022600248,Iraq,Middle East,ODA Grants,5.258176,918,SUPPORT TO THE COMMUNITY REINTEGRATION OF IRAQI RETURNEES FROM SYRIA,Support to the community reintegration of Iraqi returnees from Syria,IT,Duhok,36.86044,42.848,15220,"Civilian peace-building, conflict prevention and resolution",152,"I.5.b. Conflict, Peace & Security",2022-12-15 00:00:00,2023-12-31 00:00:00,"The action seeks to support the reintegration of Iraqis into local communities after they have been repatriated from Syria and gone through the Iraqi security screening process in the Jeddah camps. The action will benefit both the repatriated Iraqis as well as the receiving communities in line with the Iraqi community integration programme. Activities will be identified to meet local needs with an emphasis on conflict prevention, dialogue and social cohesion and legal rights for children.&nbsp &","EU Institutions, European Commission",68,59,68,500
2014,302,United States,Agency for International Development,2014012056,Iraq,Middle East,ODA Grants,5.22468,302,BROADENING PARTICIPATION THROUGH CIVIL SOCIETY (BPCS) - SOCIAL SERVICES,Broadening Participation through Civil Society (BPCS) - Social Services,Infrastructure,Kirkuk,35.46869,44.3925,16010,Social Protection,160,I.6. Other Social Infrastructure & Services,2012-09-26 00:00:00,2012-09-26 00:00:00,"The overall goal of the project is for the Iraqi political system to function through a more sustainable, participatory democratic model by the end of the three-year effort. The project will pursue the overarching objective of increasing citizen input into Iraq s development through the following planned results: 1) democratic engagement of citizens increased, 2) institutional capacity of civil society organizations (CSOs) increased, 3) impact of civil society on public policy increased, and 4) enabling environment for civil society improved.","United States, Agency for International Development",71,17,71,548
2017,302,United States,Agency for International Development,2017025943,Iraq,Middle East,ODA Grants,5.21728,302,HUMANITARIAN SUPPORT TO IRAQ - FY2017,Humanitarian support to Iraq - FY2017,Public Administration,Erbil,36.30019,43.9916,72050,Relief co-ordination and support services,720,VIII.1. Emergency Response,2017-07-01 00:00:00,2018-06-30 00:00:00,"Basic award to Tearfund to provide Shelter, water and sanitation services, mental health services, provision of emergency commodities, and psychosocial services for conflict-affected populations in Iraq.","United States, Agency for International Development",37,41,37,203
2019,302,United States,Agency for International Development,2019023805,Iraq,Middle East,ODA Grants,5.210205,302,MULTI-SECTORAL LIVELIHOODS PROTECTION,Multi-sectoral Livelihoods Protection,Public Administration,Nineveh,35.75439,43.26255,72050,Relief co-ordination and support services,720,VIII.1. Emergency Response,2019-07-01 00:00:00,2020-08-31 00:00:00,"In 2019, a multi-sectoral humanitarian response in Iraq focused on providing essential services—including Water, Sanitation, and Hygiene (WASH), Economic Recovery and Market Systems (ERMS), Health Care Information Management (HCIM), and Shelter—to conflict-affected populations. A key implementation site was the Qayyarah Airstrip Emergency Site in Ninewa Governorate, offering critical support to internally displaced persons.","United States, Agency for International Development",37,41,37,81
2018,302,United States,State Department,2018009357,Iraq,Middle East,ODA Grants,5.2,302,SURVEY AND CLEARANCE OF EXPLOSIVE REMNANTS OF WAR (ERW) IN LIBERATED VILLAGES BETWEEN MOSUL AND ERBIL,Survey and Clearance of Explosive Remnants of War (ERW) in Liberated Villages Between Mosul and Erbil,IT,Erbil,35.77508,43.57737,15250,Removal of land mines and explosive remnants of war,152,"I.5.b. Conflict, Peace & Security",2015-10-01 00:00:00,2020-03-31 00:00:00,Survey and Clearance of Explosive Remnants of War (ERW) in Liberated Villages Between Mosul and Erbil [through Swiss Foundation for Mine Action],"United States, State Department",101,51,101,144
2015,302,United States,State Department,2015004785,Iraq,Middle East,ODA Grants,5.13,302,CONTRIBUTION TO INTERNATIONAL ORGANIZATION FOR MIGRATION ACTIVITIES IN IRAQ IN SUPPORT OF THE SYRIA REGIONAL REFUGEE AND RESILIENCE PLAN (3RP),Contribution to International Organization for Migration Activities in Iraq in Support of the Syria Regional Refugee and Resilience Plan (3RP),Public Administration,Erbil,36.40402,43.99821,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2015-01-01 00:00:00,2015-12-31 00:00:00,"The 2015 U.S.-funded contribution to the International Organization for Migration (IOM) supported activities under Iraq's chapter of the Syria Regional Refugee and Resilience Plan (3RP). IOM provided assistance to Syrian refugees in Iraq, including livelihood support, shelter assistance, and mental health services. A key implementation site was the Darashakran Camp in Erbil Governorate, which housed a significant number of Syrian refugees during that period.","United States, State Department",142,39,142,208
2020,5,Germany,Federal Foreign Office,2020008630,Iraq,Middle East,ODA Grants,5.128205,302,EMERGENCY FOOD ASSISTANCE OVER CASH ASSISTANCE IN IRAQ,Emergency food assistance over cash assistance in Iraq,Public Administration,Kirkuk,35.46994,44.39032,72040,Emergency food assistance,720,VIII.1. Emergency Response,2020-01-01 00:00:00,2021-12-31 00:00:00,"The Emergency Food Assistance over Cash Assistance project provides immediate food aid to vulnerable populations in Iraq, prioritizing direct food supplies over cash transfers to ensure timely nutritional support during crises and reduce market dependency.","Germany, Federal Foreign Office",54,25,54,54
2019,302,United States,Agency for International Development,2019022029,Iraq,Middle East,ODA Grants,5.1,302,LONG-TERM ASSISTANCE AND SERVICES FOR RESEARCH (LASER),Long-term Assistance and Services for Research (LASER),IT,Duhok,36.85713,42.91775,15220,"Civilian peace-building, conflict prevention and resolution",152,"I.5.b. Conflict, Peace & Security",2018-08-01 00:00:00,2023-09-30 00:00:00,"Long-term Assistance and Services for Research (LASER) will leverage and support international university networks, inclusive of universities from both the United States (U.S) and lower-middle income countries (LMIC), to undertake novel and innovative development research, collaborate with Missions and local actors to design and undertake research projects, and create connections that accelerate the uptake of research outputs by development actors and policy makers. The resulting LASER network will not only generate new knowledge for USAID, but also initiate long term, sustainable collaborations between U.S. and developing country institutions that are characterized by equitable university partnerships.  Services this mechanism will provide: Co-creation and implementation of research activitiesResearch design, primary data collection and analysis, Technical reports with potential for USAID co-authorshipTranslation of research findings into policy and program relevant recommendations, Academic-style program evaluation (answers a sector relevant, hypothesis-driven question), Sustained engagement with research faculty.","United States, Agency for International Development",54,59,54,1133
